 "entity_uri" , "entity_name" , "syn" ,
 "http://purl.obolibrary.org/obo/PO_0005032" , "megasporangiate strobilus" , "macrostrobili" ,
 "http://purl.obolibrary.org/obo/PO_0005032" , "megasporangiate strobilus" , "macrostrobilus" ,
 "http://purl.obolibrary.org/obo/PO_0005032" , "megasporangiate strobilus" , "ovulate cone" ,
 "http://purl.obolibrary.org/obo/PO_0005032" , "megasporangiate strobilus" , "megastrobilus" ,
 "http://purl.obolibrary.org/obo/PO_0007057" , "seed germination stage" , "rice growth stage-1" ,
 "http://purl.obolibrary.org/obo/PO_0007057" , "seed germination stage" , "maize growth stage-0" ,
 "http://purl.obolibrary.org/obo/PO_0007057" , "seed germination stage" , "01-germination in Triticeae" ,
 "http://purl.obolibrary.org/obo/PO_0007057" , "seed germination stage" , "0 germination in Solanaceae" ,
 "http://purl.obolibrary.org/obo/PO_0007057" , "seed germination stage" , "germination in Arabidopsis" ,
 "http://purl.obolibrary.org/obo/PO_0007057" , "seed germination stage" , "0 germination in maize" ,
 "http://purl.obolibrary.org/obo/PO_0007057" , "seed germination stage" , "00-germination in maize" ,
 "http://purl.obolibrary.org/obo/PO_0007057" , "seed germination stage" , "01-germination in wheat" ,
 "http://purl.obolibrary.org/obo/PO_0007057" , "seed germination stage" , "BBCH principal growth stage 0" ,
 "http://purl.obolibrary.org/obo/PO_0007057" , "seed germination stage" , "01-germination in barley" ,
 "http://purl.obolibrary.org/obo/PO_0007057" , "seed germination stage" , "01-germination in rice" ,
 "http://purl.obolibrary.org/obo/PO_0007057" , "seed germination stage" , "01-germination in oat" ,
